country_txt,category,value
Australia,nkill,23
Australia,nwound,113
Indonesia,nkill,1118
Indonesia,nwound,2444
Malaysia,nkill,147
Malaysia,nwound,101
New Zealand,nkill,1
New Zealand,nwound,2
Papua New Guinea,nkill,79
Papua New Guinea,nwound,90
Singapore,nkill,5
Singapore,nwound,3
